documento_id,classificacao_id,sha256,caminho_em_disco,tamanho_bytes
DOC-C08-008,C08,dec523b178b59a63b828994a3b6c1846e89147ccabb05fa2d42058aa42b01d95,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/06-SOMATORIO-DE-CAPACIDADE.md,602
DOC-C08-009,C08,f7c312bb7c8fd1f958b618dc739b6cd7abcf7db59793612a35c83bfd8c28a87a,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/07-INVENTARIO-DO-PACOTE.md,411
DOC-C08-010,C08,35404916f8297361c5653afeee38e900d16bc06536802b4acc72db91e84c137e,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/08-RELATORIO-DE-LIGACOES.md,182
DOC-C08-011,C08,345f9f37cfe8d7634768b0ddf9f03de373d2d8354ed2d1d70cff59d612671e1f,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/09-FILA-UNICA-DO-LANCAMENTO.md,1641
DOC-C09-001,C09,7806395e207f1a98c68da8fb62949955dcecf39e85ef5968326cbc21d8087df7,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/00-MERGULHE-AQUI.md,708
DOC-C09-002,C09,21913a56c15d497c77e6f32b0cbec08c35b1220ae8a0a52e410741ff5ce99ac6,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/00-MERGULHE-OFERTAS.md,127
DOC-C09-003,C09,e32bd50cf988a659d31b961ad5e6d94da7d82353bc6968c08cfed4ed2ae39fca,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/01-APLICATIVO/00-MERGULHE-AQUI.md,425
DOC-C09-004,C09,cd2b6592e4c7001ccc5bc789b6c423fecca8be5878915037b96151c8ba639cdb,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/01-APLICATIVO/01-APLICATIVO-VISAO.md,487
DOC-C09-005,C09,9ffd7542828b92d07d2fd87b4750628d4b56f9eee3a47abad2da6fcf077d70ee,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/02-SERVICOS/00-MERGULHE-AQUI.md,415
DOC-C09-006,C09,c2d9f381489aa59d4597302d6de4d6a040965b701f905da27729bf50e162356d,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/02-SERVICOS/02-SERVICOS-VISAO.md,554
DOC-C09-007,C09,dff43088000431eb5357652e34cba99d21a553dfb98e1321178c1a5dc2683842,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/03-PRODUTOS-FISICOS/00-MERGULHE-AQUI.md,439
DOC-C09-008,C09,819ac22416fb0ff89625ba23fd642b8667174ce3d6b851f4584a22705addd5fa,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/03-PRODUTOS-FISICOS/03-PRODUTOS-VISAO.md,679
DOC-C09-009,C09,88e03cefee016de1a105d0106a0ff59ff15fd6e0ed32e05fae7e66b29ec80bee,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/00-MERGULHE-AQUI.md,665
DOC-C09-010,C09,0c3e8aea1e176188d29cdcba9aec1a52c7d4cb750e645951975bf7e683ceee18,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/01-LIVROS-DIGITAIS/00-MERGULHE-AQUI.md,484
DOC-C09-011,C09,eb44b7fe23b67a01821cb6acf6e574aefb85c7e9cee69c39b265141d66b00800,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/01-LIVROS-DIGITAIS/04-LIVROS-DIGITAIS-VISAO.md,519
DOC-C09-012,C09,27d46740a06f9f8022a537a59feb8412bd75c0dff913d34bdd696f50af29c6fc,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/02-CURSO/00-MERGULHE-AQUI.md,434
DOC-C09-013,C09,07bc92cc2a6679613b3b209727ca22aeabf63cef0854e9e2a8a608d1ca6400f6,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/02-CURSO/04-CURSO-VISAO.md,425
DOC-C09-014,C09,ac994765e68367975acd1f7d92047fe7c65e3f105e2223e03f7e24ac360a068c,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/03-HOTMART/00-MERGULHE-AQUI.md,450
DOC-C09-015,C09,f6e83ae7cb358d5e68d61f7baab27f598b5a41c2acde2b47a6b9f06cfc94d146,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/03-HOTMART/04-HOTMART-CADASTRO.md,377
DOC-C09-016,C09,61822f0155470b6cc91922a27725bdf9b0409d0cfc5beef605d95de7df363a9e,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/04-INFOPRODUTOS/04-INFOPRODUTOS-VISAO.md,482
DOC-C09-017,C09,b82504617cc818f5e68665695061f0cf5923887aaaeb84c10cd369291850fe1c,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/05-AFILIADOS/00-MERGULHE-AQUI.md,420
DOC-C09-018,C09,db7c1bef9c4d29d4a2f72b0194de5c628d41040659b9f1f6ff31048289934369,PLANO EDITORIAL-PRODUTOS-SERVICOS/01-OFERTAS/05-AFILIADOS/05-AFILIADOS-VISAO.md,471
DOC-C10-001,C10,32c4a89b6d744f17ff9b8e72f25035efd2d04613504d47219f0e8c08e6c11538,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/00-MERGULHE-AQUI.md,792
DOC-C10-002,C10,f50642bb8f3baa49ae25e6c64d49e9248857561cf32aafda383dc04b055d4964,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/00-MERGULHE-EDITORIAL.md,129
DOC-C10-003,C10,d4ecc849fe896189b221233a08f009576dbe10c1388ad145cc2b4f7513dba6c3,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-ARQUITETURA-EDITORIAL.md,688
